DARPA_1	DARPA_10	DARPA_11	DARPA_12	DARPA_13	DARPA_14	DARPA_15	DARPA_16	DARPA_17	DARPA_18	DARPA_19	DARPA_2	DARPA_20	DARPA_3	DARPA_31	DARPA_32	DARPA_33	DARPA_34	DARPA_35	DARPA_36
32.768	33.481	30.404	29.608	32.898	37.704	34.219	29.324	29.491491	25.218	31.342	28.52953	35.123	30.283	29.481	31.303	28.775	29.166166	29.267	33.892
32.769	33.429	30.389	29.613	32.912	37.76	34.171	29.342	29.487488	25.313	31.296	28.463463	35.102	30.279	29.486	31.368	28.801	29.161161	29.247	33.934
32.799	33.432	30.358	29.616	32.972	37.759	34.277	29.329	29.472473	25.32	31.318	28.489489	34.963	30.226	29.449	31.404	28.828	29.196196	29.268	33.966
32.896	33.444	30.383	29.639	32.943	37.776	34.327	29.36	29.548548	25.287	31.346	28.489489	34.987	30.266	29.49	31.475	28.846	29.247248	29.271	33.938
32.991	33.435	30.358	29.59	32.946	37.857	34.4	29.39	29.628628	25.311	31.358	28.5005	34.984	30.251	29.429	31.543	28.892	29.27027	29.226	33.96
33.075	33.441	30.361	29.677	33.0	37.851	34.423	29.429	29.654655	25.377	31.403	28.513514	35.086	30.278	29.5	31.565	28.918	29.366365	29.252	34.032
32.996	33.435	30.335	29.541	32.943	37.778	34.423	29.379	29.623623	25.318	31.373	28.47047	34.999	30.219	29.497	31.524	28.988	29.392393	29.256	34.03
33.051	33.458	30.377	29.514	33.017	37.723	34.389	29.466	29.63063	25.289	31.368	28.503504	35.102	30.291	29.528	31.544	28.956	29.392393	29.276	34.044
33.142	33.497	30.366	29.6	33.14	37.788	34.54	29.529	29.637638	25.324	31.374	28.50951	35.109	30.351	29.463	31.498	28.924	29.325325	29.212	34.141
33.189	33.582	30.448	29.622	33.245	37.861	34.703	29.567	29.707708	25.364	31.395	28.627628	35.199	30.411	29.487	31.523	28.939	29.421421	29.293	34.124
33.219	33.581	30.425	29.643	33.301	37.871	34.747	29.618	29.736736	25.402	31.428	28.608608	35.214	30.458	29.568	31.608	28.966	29.474474	29.331	34.178
33.24	33.586	30.407	29.643	33.364	37.983	34.812	29.571	29.799799	25.442	31.397	28.63864	35.233	30.444	29.524	31.628	28.986	29.542543	29.425	34.148
33.303	33.475	30.427	29.612	33.353	38.008	34.87	29.568	29.86987	25.496	31.439	28.663664	35.164	30.509	29.554	31.721	28.996	29.486486	29.482	34.145
33.263	33.426	30.359	29.546	33.323	38.1	34.878	29.56	29.857859	25.481	31.405	28.600601	35.244	30.479	29.522	31.725	29.034	29.452452	29.508	34.181
33.345	33.411	30.307	29.573	33.374	38.087	34.867	29.7	29.84985	25.519	31.497	28.608608	35.306	30.554	29.526	31.752	29.087	29.4995	29.546	34.263
33.391	33.417	30.337	29.583	33.399	38.18	34.96	29.745	29.896896	25.573	31.573	28.615616	35.373	30.588	29.648	31.774	29.086	29.481482	29.575	34.275
33.457	33.454	30.416	29.612	33.402	38.232	35.05	29.868	29.953955	25.64	31.604	28.686687	35.31	30.682	29.737	31.81	29.095	29.54054	29.627	34.315
33.462	33.483	30.382	29.657	33.391	38.267	35.045	29.83	29.895895	25.661	31.546	28.766768	35.337	30.648	29.736	31.813	29.115	29.551552	29.579	34.395
33.466	33.504	30.38	29.673	33.348	38.269	34.999	29.844	29.93994	25.764	31.531	28.722723	35.339	30.587	29.711	31.817	29.128	29.55856	29.58	34.379
33.459	33.387	30.338	29.735	33.369	38.288	35.026	29.857	29.974976	25.728	31.495	28.726727	35.4	30.629	29.666	31.679	29.134	29.505505	29.523	34.43
33.431	33.436	30.374	29.766	33.424	38.256	35.097	29.876	29.961962	25.77	31.485	28.787788	35.407	30.646	29.707	31.664	29.15	29.559559	29.549	34.442
33.497	33.434	30.406	29.814	33.44	38.346	35.203	29.913	30.019018	25.818	31.533	28.838839	35.518	30.739	29.736	31.643	29.219	29.627628	29.586	34.561
33.473	33.451	30.385	29.803	33.472	38.347	35.192	29.837	29.981981	25.809	31.548	28.843843	35.464	30.698	29.741	31.659	29.229	29.593594	29.61	34.502
33.483	33.459	30.34	29.846	33.455	38.383	35.2	29.889	29.977978	25.816	31.575	28.895895	35.512	30.781	29.737	31.665	29.255	29.573574	29.639	34.52
33.537	33.427	30.362	29.84	33.438	38.408	35.197	29.913	30.013014	25.817	31.631	28.894896	35.558	30.797	29.753	31.745	29.232	29.54955	29.674	34.543
33.575	33.454	30.437	29.864	33.498	38.5	35.224	29.922	30.089088	25.885	31.691	28.959959	35.71	30.942	29.763	31.776	29.245	29.59159	29.702	34.52
33.54	33.368	30.416	29.869	33.525	38.549	35.208	29.907	30.077078	25.958	31.701	28.962963	35.733	30.964	29.755	31.8	29.276	29.593594	29.761	34.537
33.551	33.365	30.493	29.865	33.548	38.52	35.272	29.913	30.099098	25.949	31.768	28.96997	35.725	30.959	29.82	31.726	29.269	29.636637	29.74	34.521
33.604	33.36	30.543	29.84	33.539	38.604	35.276	29.963	30.227228	25.965	31.774	29.01001	35.77	31.009	29.805	31.746	29.275	29.633635	29.785	34.563
33.659	33.304	30.522	29.934	33.561	38.645	35.263	30.001	30.274275	25.949	31.783	29.05906	35.741	31.002	29.836	31.767	29.171	29.631632	29.83	34.543
33.652	33.315	30.514	29.977	33.61	38.63	35.364	29.954	30.316317	25.957	31.844	29.019018	35.752	30.963	29.844	31.755	29.186	29.65966	29.839	34.56
33.653	33.291	30.567	30.014	33.597	38.719	35.379	30.005	30.366365	25.949	31.902	29.093094	35.864	31.017	29.897	31.786	29.189	29.667667	29.826	34.539
33.688	33.296	30.534	30.062	33.58	38.801	35.408	29.993	30.33033	26.005	31.948	29.11912	35.837	31.069	29.889	31.844	29.197	29.71872	29.891	34.581
33.62	33.284	30.571	30.063	33.627	38.844	35.442	30.031	30.362362	25.943	31.956	29.194195	35.838	31.102	29.868	31.883	29.226	29.736736	29.927	34.546
33.584	33.25	30.521	30.027	33.63	38.835	35.408	30.054	30.334333	25.951	31.925	29.23023	35.821	31.083	29.843	31.887	29.238	29.770771	29.918	34.56
33.601	33.334	30.546	30.035	33.644	38.854	35.407	30.083	30.405405	26.021	31.987	29.225225	35.878	31.052	29.873	31.884	29.267	29.803804	29.942	34.638
33.743	33.324	30.594	30.107	33.703	38.869	35.468	30.178	30.481482	26.029	32.072	29.306307	35.912	31.157	29.888	31.862	29.225	29.74074	29.959	34.651
33.614	33.285	30.604	30.084	33.569	38.784	35.377	30.154	30.465466	25.966	32.04	29.315315	35.848	31.065	29.921	31.827	29.233	29.72072	29.974	34.607
33.663	33.32	30.565	30.098	33.576	38.834	35.411	30.144	30.513514	25.95	32.027	29.36937	35.964	31.042	29.972	31.862	29.299	29.773773	29.985	34.568
33.676	33.289	30.625	30.09	33.523	38.765	35.487	30.123	30.613613	25.985	32.11	29.436436	36.001	31.133	30.051	31.841	29.359	29.845846	29.997	34.578
33.724	33.341	30.685	30.166	33.572	38.726	35.482	30.13	30.603603	26.047	32.155	29.443443	36.015	31.117	30.103	31.806	29.46	29.88889	29.995	34.646
33.777	33.357	30.698	30.179	33.608	38.778	35.532	30.178	30.600601	26.124	32.129	29.526527	36.037	31.133	30.057056	31.836	29.454454	29.910822	30.048048	34.633266
33.77	33.253	30.68	30.157	33.567	38.801	35.538	30.188	30.661661	26.158	32.16	29.551552	36.062	31.139	30.007008	31.915	29.428429	29.880762	30.072073	34.71944
33.817	33.235	30.737	30.122	33.581	38.812	35.633	30.254	30.698698	26.212	32.158	29.595596	36.059	31.138	30.03904	31.894	29.466467	29.830662	30.10911	34.691383
33.798	33.229	30.679	30.05	33.646	38.84	35.712	30.25	30.731731	26.252	32.222	29.63864	36.083	31.195	30.013014	31.91	29.512512	29.826653	30.11111	34.68537
33.899	33.242	30.747	30.132	33.683	38.888	35.838	30.243	30.761763	26.301	32.282	29.722723	36.127	31.273	30.054054	31.934	29.506506	29.823647	30.153152	34.76453
33.871	33.247	30.757	30.066	33.697	38.888	35.817	30.298	30.726727	26.267	32.348	29.691692	36.124	31.267	30.114115	31.92	29.517517	29.875751	30.15015	34.751503
33.971	33.266	30.816	30.184	33.719	38.941	35.882	30.364	30.725725	26.357	32.416	29.793795	36.105	31.28	30.135136	31.95	29.516516	29.90481	30.154154	34.81363
33.903	33.265	30.789	30.166	33.698	38.976	35.782	30.397	30.62963	26.365	32.414	29.785786	36.096	31.247	30.158157	31.899	29.628628	30.003006	30.198198	34.816635
33.88	33.308	30.794	30.132	33.719	39.008	35.888	30.396	30.661661	26.279	32.433	29.734735	36.075	31.191	30.16032	31.908	29.655655	30.026052	30.217216	34.798595
33.906	33.361	30.84	30.19	33.736	39.094	35.905	30.346	30.657658	26.395	32.454	29.741741	36.085	31.181	30.211422	31.985	29.702703	30.069138	30.26026	34.896793
33.941	33.377	30.845	30.218	33.696	39.053	35.927	30.391	30.61962	26.419	32.443	29.776777	36.065	31.251	30.245491	32.007	29.67968	30.028055	30.249249	34.853706
33.976	33.467	30.863	30.248	33.765766	39.097	35.931	30.45045	30.564564	26.463	32.495495	29.797596	36.126	31.228	30.234468	31.982	29.722723	30.049099	30.234234	34.841682
33.954	33.479	30.806	30.253	33.677677	39.099	35.84	30.402403	30.498499	26.469	32.512512	29.798597	36.128	31.216217	30.261522	31.924	29.805805	30.037111	30.256256	34.818638
34.027	33.54	30.919	30.194	33.815815	39.215	35.91	30.456457	30.52953	26.481	32.603603	29.77455	36.151	31.364365	30.241484	31.951	29.833834	30.078236	30.20921	34.86072
34.074	33.564	30.985	30.264	33.857857	39.289	35.995995	30.483484	30.566132	26.561	32.592594	29.866734	36.234234	31.35135	30.305918	31.968	29.885885	30.09328	30.199398	34.87575
34.166	33.65	31.036	30.322	33.843845	39.226	36.087086	30.510511	30.497995	26.624	32.57257	29.952906	36.152153	31.317318	30.302908	31.896	29.883884	30.097292	30.228456	34.877754
34.205	33.716	31.035	30.341	33.784786	39.195	36.024025	30.55856	30.487976	26.626	32.618618	29.975952	36.191193	31.329329	30.27683	31.958	29.97898	30.071213	30.245491	34.866734
34.255	33.799	31.046	30.376	33.83984	39.145	36.11712	30.607607	30.507013	26.59	32.612614	30.038076	36.207207	31.183184	30.235706	31.87	30.0	30.084253	30.16533	34.76453
34.285	33.868	31.128	30.41	33.92993	39.218	36.163162	30.63063	30.554108	26.638	32.66066	30.044088	36.234234	31.258259	30.260782	31.887	30.003002	30.1334	30.184368	34.77956
34.358	33.951	31.124	30.44	34.072144	39.335	36.138138	30.674675	30.56012	26.667	32.725727	30.127254	36.323322	31.2993	30.354063	32.021	30.028028	30.333334	30.316633	34.81964
34.351	33.907	31.095	30.416	34.032063	39.248	35.973972	30.697699	30.54509	26.619	32.73974	30.059118	36.273273	31.236237	30.375126	31.992	29.996998	30.35743	30.365732	34.818638
34.293	33.904	31.069	30.346	34.002003	39.242	36.001	30.687687	30.519037	26.571	32.766533	30.087261	36.21822	31.286285	30.402206	32.089	29.991991	30.34237	30.35972	34.83567
34.227	33.928	31.034	30.368	33.990982	39.279	35.992992	30.621622	30.47996	26.613	32.73046	30.045135	36.236237	31.26026	30.464394	32.072	30.019018	30.446787	30.4008	34.853706
34.245	33.933	31.014	30.35	33.92485	39.296	36.03003	30.664665	30.423847	26.657	32.722446	30.07322	36.17017	31.297297	30.48646	32.087	30.027027	30.517069	30.388777	34.80962
34.229	33.943	31.034	30.323	33.956913	39.341	36.123123	30.719719	30.408817	26.679	32.6984	30.137413	36.14014	31.267267	30.481443	32.055	30.034035	30.54217	30.426853	34.818638
34.24	33.973	31.056	30.438	34.01002	39.444	36.12112	30.784784	30.50501	26.732	32.781563	30.150452	36.20821	31.316317	30.484453	32.072	30.05105	30.560242	30.418839	34.833668
34.139	33.982	31.037	30.385	34.042084	39.377	36.027027	30.778778	30.518036	26.695	32.751503	30.086258	36.21021	31.304304	30.510532	32.096	30.127127	30.576305	30.398798	34.901802
34.115	33.981	31.069	30.447	34.032063	39.386	35.98098	30.81081	30.487976	26.694	32.73046	30.035105	36.23824	31.21021	30.581745	32.087	30.203203	30.573294	30.453907	34.961926
34.032	33.961	31.084	30.388	33.975952	39.398	35.923923	30.755756	30.456913	26.643	32.607216	30.031094	36.31031	31.115114	30.682047	32.105	30.204205	30.593374	30.470942	35.001003
34.068	34.035	31.115	30.458	33.996994	39.438	35.953953	30.741741	30.470942	26.599	32.617233	30.058174	36.42042	31.19019	30.727182	32.134	30.21021	30.694778	30.502005	35.023045
34.104	34.017	31.095	30.445	34.061123	39.473	35.93894	30.750751	30.502005	26.563	32.547092	30.066198	36.514515	31.159159	30.715145	32.107	30.257257	30.658634	30.531061	34.975952
34.183	34.025	31.13	30.474	34.09619	39.431	35.92893	30.750751	30.53507	26.645	32.557114	30.036108	36.574574	31.154154	30.702106	32.096	30.242243	30.668674	30.461924	34.904808
34.234	34.038	31.187	30.457	34.121243	39.472	35.89189	30.743744	30.61022	26.662	32.553104	30.065195	36.53053	31.184185	30.75326	32.138	30.2993	30.72289	30.52505	34.991985
34.234	34.078	31.117	30.447	34.168335	39.51	35.81982	30.776777	30.619238	26.68	32.533066	30.086258	36.52052	31.272272	30.766298	32.127	30.287287	30.796185	30.59519	35.09619
34.305	34.107	31.191	30.504	34.188377	39.423	35.836838	30.799799	30.670341	26.673	32.53607	30.174524	36.61962	31.266266	30.782347	32.173	30.235235	30.836346	30.539078	35.118237
34.352	34.124	31.166	30.548	34.1984	39.417	35.85886	30.847847	30.661324	26.65	32.51002	30.154463	36.614616	31.277277	30.768305	32.196	30.205206	30.87249	30.564129	35.080162
34.347	34.072	31.05	30.552	34.121243	39.325	35.895897	30.926853	30.658318	26.661	32.447895	30.231695	36.661663	31.241241	30.75326	32.19	30.229229	30.844378	30.53006	35.06413
34.375	34.115	31.1	30.477	34.147293	39.281	35.814816	30.935871	30.67535	26.68	32.437878	30.248747	36.71972	31.21021	30.736208	32.211	30.294294	30.819277	30.601202	35.088177
34.409	34.057	31.122	30.508	34.22044	39.266	35.811813	30.986975	30.670341	26.749	32.483967	30.212639	36.754753	31.244244	30.767302	32.29	30.35135	30.927711	30.597195	35.076153
34.449	34.081	31.247	30.503	34.24549	39.369	35.78779	31.056112	30.780561	26.728	32.532063	30.23972	36.776775	31.308308	30.817451	32.302	30.354355	31.001003	30.692385	35.132263
34.453	34.108	31.272	30.549	34.188377	39.356	35.785786	31.09519	30.69439	26.686	32.57916	30.195587	36.701702	31.331331	30.84739	32.36937	30.332333	30.981909	30.697395	35.187374
34.442	34.181	31.203	30.563	34.19038	39.359	35.701702	31.111223	30.751503	26.66	32.527054	30.248747	36.635635	31.347347	30.856426	32.34935	30.293293	30.930653	30.692385	35.16934
34.394	34.224	31.213	30.552	34.193386	39.311	35.72973	31.132265	30.69539	26.671	32.506012	30.26981	36.596596	31.273273	30.903614	32.37037	30.34935	30.886433	30.684368	35.214428
34.308	34.127	31.179	30.555	34.163326	39.351	35.67067	31.057114	30.741484	26.638	32.529057	30.257772	36.637638	31.32833	30.881527	32.38839	30.394394	30.918592	30.715431	35.210423
34.335	34.252	31.165	30.54	34.212425	39.309	35.685684	31.123247	30.811623	26.71	32.577156	30.332998	36.743744	31.399399	30.940763	32.41141	30.329329	30.946733	30.722445	35.15631
34.354	34.296	31.157	30.581	34.168335	39.511	35.727726	31.132265	30.827656	26.764	32.606213	30.339018	36.766766	31.457457	30.959839	32.46146	30.337337	30.943718	30.796593	35.183365
34.298	34.33	31.137	30.578	34.197395	39.498	35.703705	31.234468	30.797596	26.78	32.602203	30.334002	36.77978	31.43143	30.874498	32.505505	30.357357	30.95176	30.764528	35.21343
34.295	34.288	31.08	30.604	34.21944	39.491	35.6997	31.238478	30.734468	26.826	32.638275	30.374123	36.78979	31.448448	30.826305	32.517517	30.411411	31.033165	30.776552	35.16533
34.304	34.326	31.162	30.656	34.23447	39.555	35.706707	31.256514	30.764528	26.785	32.67134	30.4002	36.82966	31.452452	30.816265	32.55155	30.442442	31.0	30.749498	35.195393
34.253	34.313	31.178	30.65	34.167336	39.494	35.68068	31.199398	30.74048	26.78	32.653305	30.41324	36.8016	31.487488	30.84538	32.50951	30.443443	30.955778	30.781563	35.214428
34.261	34.268	31.15	30.692	34.16934	39.371	35.638638	31.141283	30.723448	26.739	32.638275	30.352057	36.816635	31.448448	30.86245	32.523525	30.41041	30.917587	30.812626	35.22846
34.268	34.234	31.201	30.682	34.133266	39.406	35.614616	31.171343	30.734468	26.769	32.60421	30.337011	36.742485	31.485485	30.836346	32.501503	30.435436	30.926634	30.799599	35.23948
34.194	34.201	31.165	30.686	34.163326	39.316	35.641644	31.098196	30.756514	26.736	32.638275	30.272818	36.707417	31.556557	30.803213	32.505505	30.346346	30.894472	30.831663	35.223446
34.217	34.282	31.3	30.663	34.206413	39.527	35.612614	31.152304	30.768538	26.818	32.66032	30.372116	36.673347	31.577578	30.878513	32.515514	30.46046	30.915579	30.765532	35.28657
34.186	34.202	31.291	30.69	34.143288	39.476	35.525524	31.149298	30.754509	26.817	32.6493	30.392176	36.696392	31.592592	30.917671	32.524525	30.502502	30.895477	30.772545	35.25651
34.196	34.212	31.316	30.72	34.192387	39.531	35.53053	31.151302	30.779558	26.802	32.70541	30.38014	36.547092	31.628628	30.90964	32.54054	30.474474	30.893467	30.816633	35.27154
34.076	34.156	31.334	30.738	34.16032	39.529	35.51351	31.187374	30.708416	26.79	32.706413	30.371113	36.5	31.641642	30.855421	32.498497	30.389389	30.914574	30.868738	35.248497
34.046	34.192	31.347	30.776	34.231464	39.461	35.50951	31.184368	30.663326	26.817	32.77355	30.4002	36.517033	31.65065	30.8504	32.456455	30.436436	30.96382	30.85972	35.17936
34.13	34.166	31.426	30.758	34.276554	39.513	35.51852	31.202404	30.672344	26.893	32.75451	30.497492	36.59419	31.654655	30.906626	32.42943	30.378378	30.96382	30.840681	35.14028
34.183	34.196	31.538	30.742	34.36473	39.538	35.463463	31.214428	30.66433	26.878	32.782566	30.505516	36.66032	31.76977	30.88755	32.435436	30.329329	30.98995	30.823647	35.17034
34.189	34.217	31.574	30.729	34.412827	39.558	35.482483	31.169338	30.669338	26.92	32.808617	30.54664	36.703407	31.754755	30.9749	32.495495	30.31031	30.99598	30.777555	35.218437
34.158	34.267	31.671	30.699	34.41884	39.607	35.458458	31.200401	30.716433	26.971	32.831665	30.468405	36.76954	31.760761	31.004017	32.466465	30.31031	30.946733	30.827656	35.206413
34.115	34.229	31.676	30.673	34.447895	39.606	35.41842	31.151302	30.68036	26.985	32.837677	30.481443	36.767536	31.706707	31.01004	32.48649	30.32833	30.879396	30.88978	35.211422
34.014	34.282	31.658	30.634	34.468937	39.518	35.465466	31.207415	30.64028	26.973	32.92084	30.518557	36.774548	31.741741	31.075302	32.43844	30.36937	30.85427	30.905811	35.22044
34.077	34.305	31.743	30.625	34.53607	39.633	35.3994	31.307615	30.863728	27.119	33.04108	30.584755	36.913826	31.944944	31.088354	32.466465	30.341341	30.895477	30.916834	35.193386
34.167	34.358	31.759	30.574	34.567135	39.682	35.38038	31.380762	30.92485	27.188	33.071144	30.662989	36.926853	31.945946	31.124498	32.493492	30.307308	30.853266	30.930862	35.257515
34.135136	34.319	31.757	30.568	34.509018	39.72	35.35471	31.401203	30.893787	27.251	33.07014	30.660982	36.936874	31.88889	31.109438	32.493492	30.342342	30.83216	30.93487	35.206413
34.086086	34.359	31.785	30.524	34.482967	39.708	35.306614	31.354063	30.848698	27.26	33.07515	30.64995	36.902805	31.884886	31.259037	32.56256	30.427427	30.869347	30.951904	35.199398
34.046047	34.304	31.728	30.481	34.440884	39.685	35.26553	31.349047	30.818638	27.227	33.121243	30.557673	36.841682	31.793795	31.202812	32.543545	30.412413	30.796986	30.986975	35.214428
34.034035	34.352	31.746	30.469	34.416832	39.665	35.22846	31.300903	30.79459	27.17	33.101204	30.57673	36.785572	31.763763	31.185743	32.47948	30.426426	30.77186	30.97495	35.195393
34.083084	34.36	31.8	30.474	34.42485	39.634	35.29559	31.364092	30.741484	27.169	33.16533	30.579739	36.806614	31.782784	31.259037	32.54955	30.443443	30.836182	30.978958	35.262524
34.005005	34.393	31.804	30.465	34.503006	39.628	35.322968	31.37713	30.716433	27.178	33.152306	30.594784	36.8497	31.737738	31.261044	32.545544	30.551552	30.855276	31.008017	35.27555
34.01101	34.322	31.827	30.429	34.46493	39.503	35.238716	31.38315	30.648296	27.132	33.16433	30.56369	36.70441	31.737738	31.312563	32.5035	30.62062	30.863178	30.962925	35.207623
34.024025	34.358	31.876	30.422	34.406815	39.509	35.22066	31.341022	30.66433	27.116	33.212425	30.57673	36.797596	31.712713	31.313568	32.476475	30.616617	30.867203	30.967936	35.154465
34.01902	34.412	31.869	30.46	34.44389	39.469	35.270813	31.339018	30.703407	27.113	33.178356	30.67703	36.837677	31.7007	31.38995	32.47948	30.690691	30.972837	31.002005	35.20662
34.017017	34.432	31.813	30.438	34.452908	39.483	35.177532	31.277834	30.605211	27.095	33.222446	30.605818	36.90581	31.624624	31.384924	32.435436	30.68969	30.932596	31.043087	35.24273
33.997997	34.38	31.793	30.402	34.4499	39.456	35.162487	31.2668	30.56012	27.033	33.17134	30.532598	36.919838	31.615616	31.383919	32.432434	30.668669	30.917505	31.051102	35.170513
33.95796	34.399	31.785	30.445	34.486973	39.455	35.198597	31.257772	30.506012	26.961	33.26453	30.548645	36.940884	31.645645	31.384924	32.4995	30.682682	30.915493	31.098196	35.19057
33.99099	34.456	31.804	30.386	34.4509	39.454	35.15647	31.253761	30.51002	26.97	33.298595	30.579739	36.855713	31.647648	31.490452	32.536537	30.722723	30.91348	31.158318	35.167503
34.08208	34.462	31.838	30.402	34.483967	39.486	35.191574	31.294884	30.54509	26.971	33.347694	30.588766	36.923847	31.655655	31.521608	32.602604	30.725725	30.875252	31.173347	35.17653
34.057056	34.457	31.85	30.339	34.543087	39.37	35.135406	31.29689	30.438877	26.982	33.333668	30.557673	36.791584	31.555555	31.468342	32.623623	30.713715	30.881289	31.187374	35.189568
34.0981	34.524	31.867	30.377	34.58116	39.382	35.180542	31.372116	30.504007	26.972	33.3497	30.545637	36.785572	31.602602	31.499498	32.60761	30.756756	30.949697	31.199398	35.261784
34.12713	34.547	31.892	30.41	34.613228	39.415	35.2337	31.372116	30.50501	26.951	33.377754	30.500502	36.808617	31.598598	31.543259	32.647648	30.746746	30.981892	31.181362	35.262787
34.191193	34.666	31.896	30.377377	34.683365	39.565	35.278835	31.42628	30.554108	27.029	33.304607	30.497492	36.77355	31.58959	31.52012	32.707706	30.765766	31.026157	31.198397	35.264793
34.138138	34.656	31.855	30.465466	34.836674	39.479	35.37312	31.518557	30.586172	27.131	33.263527	30.468405	36.793587	31.495495	31.580482	32.765766	30.746746	31.00503	31.189379	35.232697
34.047047	34.697	31.91	30.456457	34.856712	39.506	35.35105	31.485456	30.548096	27.091	33.233467	30.4664	36.733467	31.502502	31.600603	32.788788	30.761763	31.038229	31.172344	35.18756
34.08108	34.738	31.955	30.44144	34.8497	39.392	35.37312	31.503511	30.59018	27.103	33.173347	30.468405	36.703407	31.504505	31.597586	32.86286	30.777779	30.965796	31.186373	35.26981
34.119118	34.819	31.949	30.424425	34.891785	39.32	35.38415	31.48646	30.52004	27.107	33.223446	30.504513	36.75852	31.444445	31.587524	32.883884	30.766768	30.993963	31.147295	35.277832
34.108215	34.807	31.983	30.406406	34.97896	39.374	35.408226	31.495487	30.504007	27.137136	33.259518	30.481443	36.761524	31.464464	31.55332	32.9009	30.826826	30.997988	31.134268	35.333
34.10922	34.806	32.04	30.430431	34.993988	39.371	35.365097	31.552658	30.5	27.134134	33.270542	30.49348	36.836674	31.510511	31.476862	32.85886	30.830832	31.011066	31.167503	35.335007
34.06613	34.814	32.0	30.42943	34.97896	39.351	35.303913	31.56369	30.453907	27.133133	33.247494	30.504513	36.78457	31.476477	31.5	32.85285	30.88989	31.01509	31.139418	35.333
33.981964	34.869	32.028	30.411411	34.970943	39.353	35.24774	31.59378	30.537075	27.083082	33.222446	30.532598	36.793587	31.492493	31.478872	32.814816	30.89089	31.02515	31.07623	35.37914
34.01002	34.911	32.032	30.474474	34.987976	39.402	35.235706	31.661985	30.508017	27.127127	33.262524	30.498495	36.763527	31.456457	31.518108	32.833836	30.910912	31.088531	31.152458	35.408226
34.054108	34.935	31.993	30.51952	35.014027	39.343	35.21565	31.645937	30.445892	27.107107	33.251503	30.457373	36.83467	31.532532	31.567404	32.86987	30.897898	31.061369	31.15948	35.410233
34.022045	34.934	32.013	30.582582	35.01002	39.277	35.24774	31.68004	30.347696	27.135136	33.187374	30.457373	36.800602	31.543543	31.575453	32.835835	30.866867	31.021128	31.12337	35.385155
33.917835	35.005	32.093	30.554554	35.107216	39.282	35.243732	31.633902	30.327656	27.09009	33.191383	30.498495	36.837677	31.492493	31.565392	32.835835	30.928928	31.067404	31.079237	35.395187
33.930862	35.03	32.101	30.614614	35.11523	39.36	35.214645	31.648947	30.34469	27.123123	33.217434	30.549648	36.85972	31.448448	31.603622	32.936935	30.983984	31.05835	31.135406	35.42026
33.91884	35.014	32.137	30.577578	35.112225	39.336	35.189568	31.669006	30.328657	27.144144	33.16533	30.479439	36.788578	31.437437	31.569416	32.93093	30.973974	31.093561	31.086258	35.43932
33.99599	35.022	32.146	30.607607	35.195393	39.442	35.18255	31.797392	30.329659	27.161161	33.24349	30.512537	36.86072	31.438438	31.566399	32.97998	30.956957	31.043259	31.124372	35.52056
33.951904	35.044	32.149	30.577578	35.187374	39.444	35.208626	31.848545	30.357716	27.135136	33.311623	30.53962	36.878757	31.425425	31.552315	33.021023	30.896896	31.097586	31.1334	35.53059
33.90982	35.053	32.148	30.503504	35.192387	39.41	35.155468	31.817451	30.32064	27.12913	33.36974	30.511534	36.872746	31.426426	31.584507	33.0	30.886887	31.054325	31.129389	35.55366
33.942886	35.163	32.226	30.510511	35.28056	39.489	35.288868	31.863453	30.37613	27.156157	33.318638	30.508032	36.83467	31.463928	31.620724	32.984985	30.941942	31.07344	31.058174	35.55065
33.940884	35.154	32.145	30.486486	35.277554	39.475	35.271816	31.822289	30.40321	27.056057	33.307613	30.461847	36.848698	31.486975	31.550303	32.924927	30.941942	31.057344	31.05717	35.514545
33.982967	35.208	32.218	30.47848	35.18036	39.514	35.225677	31.84739	30.402206	27.086086	33.29058	30.411646	36.896793	31.53507	31.506037	32.94094	30.931932	31.095573	31.014042	35.515545
33.971943	35.225	32.113	30.421421	35.188377	39.487	35.138416	31.868473	30.441324	27.115114	33.28056	30.355421	36.883766	31.536072	31.509054	32.904903	31.008009	31.148893	30.971916	35.54965
34.0	35.24	32.114	30.442442	35.062122	39.44	35.16048	31.784136	30.418255	27.105104	33.232464	30.36245	36.862724	31.51503	31.460764	32.8989	31.06006	31.15191	31.012035	35.567703
33.96493	35.293	32.095	30.35936	35.133266	39.501	35.159477	31.800201	30.530592	27.104105	33.162323	30.38253	36.877754	31.522043	31.455734	32.886887	31.066067	31.132797	31.128386	35.619858
34.085255	35.354355	32.14014	30.35972	35.198597	39.415417	35.256283	31.831326	30.517553	27.101303	33.163326	30.359438	36.81363	31.564693	31.510574	32.982967	31.031061	31.124874	31.167002	35.70251
34.10933	35.3994	32.22823	30.561686	35.287865	39.468468	35.22613	31.894579	30.598797	27.229689	33.187374	30.435743	36.848698	31.712137	31.544813	33.11523	31.069138	31.171198	31.157948	35.77186
34.07623	35.367367	32.194195	30.496489	35.24774	39.463463	35.2	31.990963	30.559679	27.155466	33.12425	30.375502	36.85972	31.694082	31.53877	33.123245	31.037075	31.116817	31.109657	35.70955
34.094284	35.404404	32.17017	30.475426	35.30291	39.46146	35.186935	31.922691	30.574724	27.15346	33.123245	30.391565	36.882767	31.611835	31.499496	33.099197	31.088177	31.153072	31.08149	35.742714
