DARPA_1	DARPA_10	DARPA_11	DARPA_12	DARPA_13	DARPA_14	DARPA_15	DARPA_16	DARPA_17	DARPA_18	DARPA_19	DARPA_2	DARPA_20	DARPA_3	DARPA_31	DARPA_32	DARPA_33	DARPA_34	DARPA_35	DARPA_36
12.541	12.392	10.881	10.29	12.175	12.196	11.398	8.297	10.122	8.592	10.34	10.213	12.767	10.272	6.858	7.453	7.049	7.051	6.95	8.123
12.634	12.554	10.989	10.388	12.313	12.281	11.507	8.375	10.192	8.684	10.417	10.308	12.857	10.337	6.938	7.512	7.12	7.185	7.013	8.197
12.76	12.693	11.101	10.502	12.457	12.399	11.592	8.465	10.276	8.75	10.49	10.406	12.96	10.412	7.037	7.622	7.193	7.33	7.127	8.315
12.779	12.706	11.164	10.57	12.493	12.465	11.605	8.493	10.353	8.816	10.483	10.478	13.103	10.479	7.091	7.697	7.237	7.383	7.195	8.402
12.879	12.792	11.27	10.654	12.603	12.527	11.692	8.554	10.441	8.88	10.581	10.56	13.196	10.538	7.154	7.796	7.331	7.473	7.275	8.472
12.988	12.881	11.344	10.737	12.764	12.623	11.746	8.597	10.536	8.948	10.707	10.669	13.339	10.66	7.247	7.882	7.424	7.587	7.341	8.595
13.089	13.021	11.463	10.826	12.867	12.718	11.841	8.693	10.656	9.048	10.772	10.742	13.457	10.78	7.328	7.981	7.533	7.698	7.431	8.692
13.131	13.112	11.558	10.868	12.964	12.771	11.926	8.76	10.726	9.111	10.848	10.81	13.519	10.865	7.413	8.063	7.65	7.77	7.505	8.82
13.248	13.253	11.692	10.966	13.023	12.854	12.037	8.819	10.829	9.185	10.96	10.934	13.601	11.023	7.505	8.129	7.753	7.826	7.544	8.898
13.31	13.322	11.798	11.032	13.125	12.943	12.134	8.865	10.917	9.249	11.023	10.974	13.676	11.035	7.61	8.224	7.837	7.887	7.633	9.04
13.361	13.434	11.931	11.124	13.207	13.037	12.229	8.919	11.024	9.321	11.139	11.048	13.851	11.14	7.7	8.35	7.937	8.002	7.727	9.15
13.418	13.552	12.016	11.242	13.336	13.147	12.317	8.99	11.108	9.414	11.246	11.141	13.945	11.256	7.772	8.447	8.042	8.144	7.807	9.276
13.458	13.687	12.13	11.357	13.438	13.246	12.418	9.063	11.228	9.503	11.318	11.196	14.095	11.336	7.895	8.551	8.133	8.262	7.916	9.384
13.546	13.761	12.237	11.461	13.511	13.39	12.449	9.083	11.327	9.597	11.413	11.31	14.182	11.434	7.977	8.642	8.212	8.419	8.032	9.497
13.648	13.936	12.388	11.576	13.686	13.517	12.599	9.163	11.447	9.695	11.484	11.413	14.294	11.514	8.085	8.755	8.354	8.536	8.112	9.604
13.845	14.107	12.47	11.682	13.805	13.575	12.724	9.331	11.598	9.78	11.579	11.499	14.415	11.644	8.195	8.868	8.485	8.635	8.218	9.747
13.976	14.195	12.558	11.757	13.907	13.683	12.808	9.42	11.684	9.834	11.706	11.623	14.477	11.753	8.308	8.967	8.602	8.749	8.309	9.856
14.052	14.279	12.676	11.78	14.103	13.71	12.989	9.507	11.76	9.952	11.898	11.632	14.59	11.904	8.419	9.115	8.723	8.807	8.422	9.98
14.211	14.404	12.813	11.914	14.22	13.861	13.133	9.637	11.87	10.055	11.981	11.713	14.74	12.02	8.587	9.216	8.808	8.919	8.543	10.135
14.309	14.494	12.909	12.003	14.325	13.961	13.231	9.725	11.956	10.126	12.102	11.756	14.844	12.091	8.719	9.327	8.869	9.026	8.659	10.215
14.425	14.618	13.03	12.117	14.39	14.074	13.329	9.806	12.068	10.21	12.226	11.845	15.017	12.185	8.858	9.459	9.005	9.107	8.787	10.329
14.555	14.73	13.127	12.235	14.48	14.132	13.416	9.87	12.158	10.303	12.348	11.901	15.163	12.318	8.98	9.549	9.11	9.245	8.904	10.472
14.741	14.862	13.261	12.363	14.615	14.251	13.602	9.965	12.327	10.444	12.466	11.994	15.351	12.448	9.099	9.69	9.217	9.365	9.032	10.661
14.886	14.999	13.362	12.489	14.746	14.384	13.753	10.036	12.466	10.531	12.595	12.151	15.518	12.549	9.203	9.798	9.343	9.513	9.169	10.81
15.038	15.079	13.488	12.601	14.825	14.523	13.852	10.088	12.54	10.621	12.69	12.267	15.581	12.672	9.323	9.904	9.431	9.606	9.259	10.982
15.168	15.222	13.665	12.722	14.959	14.633	13.986	10.165	12.686	10.714	12.849	12.361	15.766	12.798	9.439	10.012	9.525	9.697	9.355	11.085
15.264	15.4	13.792	12.821	15.058	14.723	14.087	10.25	12.752	10.81	12.958	12.476	15.958	12.905	9.572	10.15	9.642	9.793	9.472	11.279
15.388	15.574	13.914	12.944	15.219	14.923	14.214	10.383	12.9	10.889	13.084	12.623	16.096	12.969	9.674	10.249	9.748	9.888	9.575	11.4
15.517	15.717	14.059	13.061	15.338	15.077	14.347	10.494	13.041	11.032	13.23	12.723	16.265	13.142	9.815	10.396	9.877	10.017	9.716	11.566
15.64	15.883	14.171	13.17	15.492	15.272	14.481	10.573	13.187	11.184	13.361	12.844	16.45	13.309	9.923	10.537	10.037	10.118	9.849	11.7
15.758	16.004	14.298	13.284	15.621	15.396	14.603	10.702	13.277	11.312	13.464	12.96	16.522	13.433	10.048	10.684	10.169	10.234	9.953	11.821
15.879	16.124	14.425	13.474	15.72	15.522	14.753	10.791	13.367	11.458	13.564	13.106	16.653	13.587	10.172	10.853	10.272	10.369	10.097	11.98
15.996	16.267	14.581	13.624	15.902	15.721	14.901	10.907	13.499	11.559	13.698	13.264	16.776	13.712	10.304	11.007	10.371	10.483	10.253	12.152
16.163	16.409	14.749	13.777	16.078	15.876	15.131	11.024	13.61	11.719	13.86	13.375	16.921	13.829	10.406	11.148	10.474	10.618	10.371	12.294
16.299	16.505	14.888	13.875	16.247	16.015	15.281	11.14	13.714	11.818	13.97	13.503	17.128	13.943	10.53	11.261	10.59	10.703	10.536	12.45
16.431	16.7	15.047	14.04	16.374	16.161	15.441	11.244	13.8	11.965	14.094	13.593	17.264	14.073	10.669	11.426	10.734	10.832	10.631	12.613
16.573	16.834	15.201	14.121	16.541	16.334	15.606	11.344	13.935	12.084	14.196	13.707	17.445	14.179	10.816	11.55	10.859	10.924	10.734	12.746
16.728	16.995	15.329	14.259	16.69	16.587	15.708	11.472	14.049	12.197	14.358	13.839	17.598	14.359	10.941	11.682	11.026	11.022	10.869	12.899
16.881	17.092	15.498	14.391	16.889	16.789	15.853	11.588	14.203	12.32	14.497	13.953	17.701	14.495	11.115	11.789	11.105	11.156	10.965	12.987
17.046	17.264	15.616	14.52	17.043	16.99	15.98	11.688	14.351	12.508	14.649	14.078	17.838	14.67	11.239	11.926	11.241	11.279	11.121	13.134
17.193	17.388	15.803	14.656	17.2	17.163	16.117	11.788	14.464	12.635	14.778	14.216	17.949	14.826	11.353	12.058	11.408	11.39	11.269	13.28
17.336	17.583	15.974	14.811	17.394	17.375	16.226	11.898	14.65	12.751	14.958	14.348	18.126	14.992	11.486	12.149	11.537	11.491	11.423	13.399
17.497	17.736	16.169	14.931	17.561	17.555	16.36	12.011	14.788	12.91	15.114	14.498	18.25	15.129	11.613	12.29	11.668	11.635	11.541	13.569
17.66	17.933	16.316	15.062	17.745	17.747	16.566	12.159	14.924	13.049	15.284	14.63	18.407	15.284	11.763	12.393	11.834	11.779	11.652	13.733
17.802	18.134	16.487	15.211	17.843	17.895	16.679	12.316	15.027	13.175	15.392	14.732	18.566	15.403	11.949	12.535	11.978	11.962	11.755	13.896
17.972	18.337	16.629	15.387	17.982	18.147	16.859	12.449	15.195	13.319	15.593	14.846	18.778	15.565	12.093	12.677	12.151	12.104	11.93	14.044
18.134	18.553	16.819	15.552	18.142	18.358	17.045	12.562	15.261	13.408	15.752	14.968	18.951	15.76	12.225	12.804	12.271	12.257	12.071	14.192
18.335	18.685	16.992	15.725	18.305	18.525	17.198	12.703	15.418	13.53	15.919	15.098	19.149	15.956	12.326	12.9	12.382	12.354	12.237	14.362
18.45	18.796	17.112	15.828	18.438	18.719	17.344	12.809	15.533	13.69	16.049	15.202	19.37	16.103	12.456	13.019	12.496	12.512	12.384	14.52
18.586	18.98	17.312	15.967	18.668	18.888	17.507	12.952	15.632	13.796	16.227	15.315	19.606	16.247	12.606	13.199	12.634	12.66	12.499	14.675
18.785	19.195	17.46	16.127	18.838	19.101	17.671	13.079	15.767	13.931	16.398	15.493	19.824	16.49	12.75	13.326	12.782	12.815	12.639	14.887
18.998	19.435	17.656	16.264	19.04	19.327	17.845	13.223	15.916	14.074	16.599	15.743	20.111	16.691	12.877	13.449	12.878	12.951	12.856	15.071
19.164	19.614	17.839	16.397	19.166	19.504	17.971	13.384	16.047	14.191	16.73	15.91	20.287	16.873	13.016	13.615	13.022	13.107	13.006	15.205
