PID4413_Tumor_RNA		PID4418_Tumor_insulinoma_RNA		PID4447_Tumor_RNA		PID4468_Tumor_MTC_RNA		PID4596_13006_Tumor_RNA		PT087_Primary_RNA		PT087_Recurrent_RNA		PT165_Primary_RNA		PT165_Recurrent_RNA		PT208_P1_Tumor_RNA		PT208_P2_Tumor_RNA		PT211_S1_Tumor_RNA		PT211_S2_Tumor_RNA		PT218_Primary_RNA	
30.062		39.601		37.93		79.603		43.076		12.228		11.256		9.437		7.44		55.252		94.885		35.899		21.431		6.698	
30.651		39.712		38.671		80.908		43.837		12.426		11.456		9.513		7.543		56.21		96.697		36.392		21.762		6.781	
31.108		40.25		39.362		82.16		44.612		12.606		11.639		9.732		7.644		57.331		98.39		36.973		22.057		6.905	
31.682		40.526		40.049		83.271		45.352		12.779		11.826		9.906		7.813		58.187		100.085		37.63		22.406		6.971	
32.156		41.359		40.846		84.845		45.959		12.988		12.106		10.051		7.967		59.112		101.875		38.005		22.717		7.065	
32.775		41.918		41.759		86.432		46.658		13.206		12.342		10.209		8.091		60.024		104.007		38.673		23.013		7.173	
33.258		42.057		42.679		87.809		47.441		13.344		12.524		10.325		8.225		60.943		105.886		39.15		23.373		7.261	
33.722		42.854		43.564		88.936		48.148		13.568		12.754		10.499		8.383		62.037		107.21		39.643		23.89		7.365	
34.199		43.428		44.308		90.462		48.712		13.782		12.988		10.628		8.551		63.13		109.028		40.061		24.227		7.49	
34.668		44.137		44.94		92.632		49.305		14.005		13.201		10.758		8.713		64.261		110.628		40.614		24.555		7.564	
35.21		44.414		45.475		94.199		49.987		14.199		13.439		10.861		8.845		65.248		112.153		41.134		24.898		7.668	
35.573		44.984		46.125		96.205		50.64		14.408		13.652		11.054		9.016		66.208		113.561		41.994		25.327		7.657	
36.191		45.702		46.769		97.64		51.464		14.66		13.833		11.158		9.183		67.122		115.201		42.638		25.705		7.762	
36.946		46.178177		47.127		99.215		52.129		14.8998995		14.025		11.308		9.277277		68.018		116.78		43.206		26.128		7.843	
37.409		46.954956		47.836		100.45		53.039		15.143143		14.277		11.466		9.414414		68.9		118.15		43.787		26.468		7.967	
38.064		47.508507		48.407		101.524		53.75175		15.334334		14.527		11.615		9.545546		69.688		119.745		44.286		26.897		8.054	
38.714		47.984985		49.071		103.796		54.46747		15.635635		14.735		11.804		9.673674		70.693		121.025		44.781		27.322		8.14	
39.338		48.72172		49.786		105.707		55.237236		15.835835		14.945		12.002		9.818819		71.543		122.75		45.216		27.712		8.239	
39.981		49.275276		50.629		107.235		55.97698		16.017017		15.178		12.14		9.920921		72.481		124.315		45.836		28.099		8.346	
40.631		49.93994		51.302		108.566		56.59159		16.173174		15.385		12.286		10.0760765		73.428		125.685		46.318		28.435		8.446	
