2_Pilot_1	2_Pilot_10	2_Pilot_11	2_Pilot_3	2_Pilot_9	3_Pilot_1	3_Pilot_10	3_Pilot_11	3_Pilot_3	3_Pilot_9	Pilot_1	Pilot_10	Pilot_11	Pilot_3	Pilot_9	MSSM_RNA_PFC_2	PITT_RNA_PFC_1263	PITT_RNA_PFC_1581	MSSM_RNA_PFC_128	MSSM_RNA_PFC_141	MSSM_RNA_PFC_143	MSSM_RNA_PFC_146	MSSM_RNA_PFC_147	MSSM_RNA_PFC_148	MSSM_RNA_PFC_155	MSSM_RNA_PFC_159	MSSM_RNA_PFC_161	MSSM_RNA_PFC_163	MSSM_RNA_PFC_165	MSSM_RNA_PFC_166	MSSM_RNA_PFC_168	MSSM_RNA_PFC_176	MSSM_RNA_PFC_181	MSSM_RNA_PFC_184	MSSM_RNA_PFC_191	MSSM_RNA_PFC_198	MSSM_RNA_PFC_207	MSSM_RNA_PFC_286	MSSM_RNA_PFC_299	MSSM_RNA_PFC_303	MSSM_RNA_PFC_329	MSSM_RNA_PFC_67	MSSM_RNA_PFC_79	MSSM_RNA_PFC_93	MSSM_RNA_PFC_97	PENN_RNA_PFC_1	PENN_RNA_PFC_10	PENN_RNA_PFC_21	PENN_RNA_PFC_52	PENN_RNA_PFC_61	PENN_RNA_PFC_98	PITT_RNA_PFC_10025	PITT_RNA_PFC_1026	PITT_RNA_PFC_1086	PITT_RNA_PFC_1454	PITT_RNA_PFC_1524	PITT_RNA_PFC_1542	MSSM_RNA_PFC_106	MSSM_RNA_PFC_109	MSSM_RNA_PFC_11	MSSM_RNA_PFC_118	MSSM_RNA_PFC_122	MSSM_RNA_PFC_133	MSSM_RNA_PFC_197	MSSM_RNA_PFC_273	MSSM_RNA_PFC_293	MSSM_RNA_PFC_316	MSSM_RNA_PFC_34	MSSM_RNA_PFC_343	MSSM_RNA_PFC_360	MSSM_RNA_PFC_365	MSSM_RNA_PFC_46	MSSM_RNA_PFC_57	MSSM_RNA_PFC_65	MSSM_RNA_PFC_73	PENN_RNA_PFC_101	PENN_RNA_PFC_23	PENN_RNA_PFC_5	PENN_RNA_PFC_59	PENN_RNA_PFC_73	PENN_RNA_PFC_95	PITT_RNA_PFC_10020	PITT_RNA_PFC_1284	PITT_RNA_PFC_1558	PITT_RNA_PFC_1734	PITT_RNA_PFC_516	PITT_RNA_PFC_539	PITT_RNA_PFC_700	MSSM_RNA_PFC_144	MSSM_RNA_PFC_153	MSSM_RNA_PFC_164	MSSM_RNA_PFC_173	MSSM_RNA_PFC_199	MSSM_RNA_PFC_20	MSSM_RNA_PFC_214	MSSM_RNA_PFC_225	MSSM_RNA_PFC_236	MSSM_RNA_PFC_239	MSSM_RNA_PFC_244	MSSM_RNA_PFC_255	MSSM_RNA_PFC_260	MSSM_RNA_PFC_27	MSSM_RNA_PFC_284	MSSM_RNA_PFC_295	MSSM_RNA_PFC_296	MSSM_RNA_PFC_304	MSSM_RNA_PFC_311	MSSM_RNA_PFC_315	MSSM_RNA_PFC_323	MSSM_RNA_PFC_326	MSSM_RNA_PFC_336	MSSM_RNA_PFC_385	MSSM_RNA_PFC_394	MSSM_RNA_PFC_43	MSSM_RNA_PFC_58	MSSM_RNA_PFC_82	MSSM_RNA_PFC_92	PENN_RNA_PFC_19	PENN_RNA_PFC_67	PENN_RNA_PFC_82	PITT_RNA_PFC_1209	PITT_RNA_PFC_537	PITT_RNA_PFC_567	Pilot_1	Pilot_10	Pilot_11	Pilot_12	Pilot_17	Pilot_18	Pilot_2	Pilot_3	Pilot_4	Pilot_5	Pilot_6	Pilot_7	Pilot_8	Pilot_9
24.4	25.834503	27.137274	19.865326	16.652653	36.54855	26.26	31.474	23.617	14.273	23.823294	22.881407	24.029058	32.697395	14.346386	14.180542	20.243244	8.014014	36.40982	49.493	52.487976	27.206205	26.77555	52.808	47.038113	59.052105	73.74474	25.58959	62.267	64.53962	22.407408	27.554	20.927	30.106213	49.27583	23.621	72.927	39.704	19.716	22.87475	28.173174	24.468468	29.024	26.302301	44.701	32.201405	59.35471	36.788944	25.601603	50.696697	47.46393	49.118	48.8008	81.832664	61.792583	62.572144	34.193	26.145	29.785786	35.27828	38.958	27.754	24.735	51.31964	34.715717	8.633	31.172344	28.217	28.807	28.995996	31.087	30.872873	51.611	35.191	44.73948	38.492477	36.048	33.92986	28.4004	13.316633	71.422424	45.472946	59.129	36.366367	40.424423	63.178	43.82866	44.906	17.857859	30.711	24.46	24.005	31.593594	24.703703	41.943943	12.171171	39.581	29.547548	7.376	45.369476	25.837837	22.323	34.084084	40.587173	25.236473	21.94895	17.3	30.325	14.642643	55.361	24.99	25.148	8.076	11.054054	35.05	26.868	66.94395	23.542084	36.198597	15.351704	43.69269	25.304914	32.92986	59.809	14.713427	20.645226	19.91992	33.128128	38.538	32.46941	34.078392	42.503014	24.626627	31.459919	14.681682	25.229229	12.5
24.42613	25.910732	27.188377	19.82814	16.73073	36.675674	26.425	31.484	23.677	14.376	23.894579	22.894472	24.132265	32.787575	14.427711	14.218656	20.22022	8.001001	36.471943	49.554	52.52605	27.236237	26.792585	52.813	47.048145	59.02505	73.78879	25.644644	62.125	64.457375	22.412413	27.624	20.96	30.111223	49.11434	23.653	73.005	39.584	19.73	22.926853	28.147146	24.434435	29.057	26.391392	44.642	32.255512	59.331665	36.646233	25.60961	50.5986	47.46393	49.302	48.801804	81.8507	61.76453	62.678356	34.202	26.24	29.791792	35.303303	38.945	27.815	24.769	51.225452	34.82082	8.631	31.193386	28.304	28.868	29.028028	31.156	30.977978	51.587	35.076	44.785572	38.552658	36.182	33.922844	28.501501	13.263527	71.36837	45.445892	59.171	36.439438	40.524525	63.245	44.048096	45.064	17.87087	30.767	24.409	24.072	31.615616	24.716717	41.92192	12.25025	39.703	29.617619	7.401	45.346386	25.885885	22.394	34.15916	40.648296	25.247496	22.05906	17.304	30.314	14.651651	55.423	25.003	25.064	8.085	11.0360365	35.043	26.841	66.95996	23.5992	36.24273	15.319639	43.664665	25.335005	33.017033	59.911	14.778557	20.728643	19.93994	33.21221	38.581	32.472416	34.170853	42.508034	24.661661	31.578156	14.712712	25.27928	12.538076
24.513567	25.880642	27.458918	19.980904	16.75175	36.730732	26.465	31.592	23.731	14.414	23.932732	22.918592	24.295591	33.18637	14.408634	14.405215	20.22022	7.991992	36.48096	49.675	52.48898	27.165165	26.803608	52.694	47.082245	59.014027	73.64965	25.861862	62.086	64.39217	22.448448	27.652	21.05	30.133266	49.12638	23.597	72.965	39.554	19.7	22.928858	28.256256	24.445446	29.136	26.430431	44.563	32.413826	59.323647	36.62814	25.613613	50.635635	47.336674	49.298	48.792793	81.59619	61.876755	62.602203	34.406	26.252	29.900902	35.423424	39.227	27.815	24.771	51.248497	34.766766	8.627	31.212425	28.664	28.87	29.075075	31.431	30.993994	51.488	35.58	44.86072	38.522568	36.177	33.94389	28.644644	13.211423	71.81782	45.466934	59.1	36.449448	40.565567	63.323	44.25651	45.2	17.938938	30.912	24.376	24.057	31.57958	24.647648	41.967968	12.288288	39.617	29.610611	7.392	45.421688	26.019018	22.475	34.104103	40.544086	25.35972	22.011011	17.395	30.283	14.74975	55.342	25.054	25.024	8.067	11.0680685	35.051	26.943	67.37037	23.568136	36.336006	15.294589	43.724724	25.41023	33.09018	59.943	14.765531	20.776884	20.022022	33.206207	38.576	32.53962	34.377888	42.54518	24.647648	31.652304	14.827827	25.425425	12.517035
24.64623	25.892677	27.558117	20.054272	16.760761	36.713715	26.568	31.722	23.812	14.377	24.026104	22.982914	24.383768	33.291584	14.427711	14.432731	20.24825	8.009018	36.461926	49.644	52.472946	27.251251	26.878757	52.817	47.235706	59.024048	73.62963	25.758759	62.02	64.52959	22.43143	27.628	20.95	30.251503	48.99699	23.59	73.167	39.702	19.702	23.003006	28.161161	24.378378	29.125	26.415415	44.477	32.40381	59.452908	36.642212	25.555555	50.6016	47.348698	49.294	48.67968	81.65531	61.96593	62.8016	34.537	26.26	29.953955	35.47047	39.339	27.875	24.744	51.376755	34.778778	8.647	31.182365	28.632	28.823	29.176176	31.388	31.017017	51.668	35.613	44.913826	38.518555	36.075	33.955914	28.608608	13.210421	71.83283	45.53507	59.165165	36.475475	40.67067	63.367	44.39078	45.357	17.97898	30.886	24.335	24.042	31.634634	24.622623	42.096096	12.318318	39.614	29.64064	7.391	45.403614	25.95896	22.638	34.095097	40.602203	25.422846	22.026026	17.4	30.315	14.775776	55.409	25.042	25.13	8.044	11.047047	35.062	26.987	67.34735	23.59018	36.47643	15.349699	43.77177	25.46339	33.159317	59.897	14.785571	20.815075	20.084084	33.225224	38.575	32.568707	34.507538	42.67068	24.654655	31.718437	14.834835	25.471472	12.573146
24.663317	25.921764	27.587173	20.015076	16.959959	36.77978	26.505	31.757	23.89	14.354	23.997992	23.03618	24.47495	33.262524	14.441767	14.432731	20.303303	7.9899797	36.45992	49.605	52.48898	27.302301	26.887775	52.636	47.310932	58.966934	73.56657	25.806807	61.881	64.47141	22.464464	27.554	21.014	30.35972	48.87362	23.608	73.099	39.629	19.698	23.137274	28.15015	24.367367	29.244	26.415415	44.413	32.60521	59.321644	36.55377	25.56857	50.43844	47.244488	49.176	48.652653	81.72144	62.007015	62.847694	34.507	26.234	29.85986	35.526527	39.385	27.974	24.653	51.236473	34.77177	8.66	31.204409	28.648	29.044	29.211212	31.425	30.992992	51.619	35.669	44.976955	38.494484	35.973	33.921844	28.603603	13.226453	71.682686	45.434868	59.05906	36.458458	40.785786	63.565	44.377754	45.411	17.981981	30.923	24.395	24.083	31.682682	24.551552	42.024025	12.269269	39.576	29.71071	7.415	45.421688	25.984985	22.707	34.087086	40.529057	25.40481	22.003002	17.41	30.323	14.911912	55.434	25.066	25.21	7.991	11.005005	35.095	27.207	67.31131	23.651302	36.5336	15.3727455	43.808807	25.473421	33.23447	59.913	14.786573	20.876383	20.132132	33.234234	38.625	32.900703	34.51357	42.683735	24.886887	31.776552	14.881882	25.371372	12.57014
24.711557	25.971916	27.667336	20.100502	17.003002	36.85986	26.517	31.845	23.923	14.331	23.992971	23.066332	24.551102	33.29459	14.481928	14.437751	20.355356	7.990982	36.481964	49.506	52.33968	27.142141	26.921844	52.515	47.36309	58.930862	73.46046	25.863863	61.804	64.46038	22.303303	27.602	20.925	30.308617	48.79639	23.587	72.937	39.427	19.759	23.170341	28.196196	24.399399	29.241	26.368368	44.462	32.652306	59.3497	36.498493	25.627628	50.37237	47.10521	49.174	48.6987	81.58918	61.92585	62.7996	34.484	26.141	29.967968	35.58759	39.417	27.964	24.556	51.237476	34.55856	8.68	31.199398	28.676	29.004	29.258259	31.42	31.04905	51.479	35.57	44.848698	38.431293	35.994	33.808617	28.66066	13.166332	71.73974	45.407814	58.94995	36.48048	40.812813	63.55	44.47495	45.559	17.998999	30.919	24.416	24.113	31.633635	24.47047	41.985985	12.25025	39.621	29.73073	7.36	45.364456	25.893894	22.737	34.07808	40.54509	25.407816	21.88088	17.409	30.355	14.9559555	55.422	25.113	25.305	7.957	10.972973	35.048	27.204	67.3003	23.618237	36.54263	15.309619	43.743744	25.535606	33.17134	59.923	14.824649	20.964825	20.106106	33.298298	38.655	32.951855	34.56985	42.534138	24.744745	31.82064	14.927928	25.492493	12.569139
24.662312	26.035105	27.647295	20.097486	17.004004	36.93794	26.609	32.008	24.022	14.31	23.959839	23.104523	24.508017	33.317635	14.480924	14.446787	20.38038	7.962926	36.441883	49.553	52.266533	27.22022	26.902805	52.459	47.405216	58.921844	73.46046	25.924925	61.723	64.42828	22.327328	27.59	20.952	30.372746	48.709126	23.577	72.933	39.464	19.753	23.233467	28.222221	24.41942	29.159	26.38038	44.455	32.53407	59.45491	36.449245	25.583584	50.4014	47.084167	49.156	48.841843	81.72244	61.917835	62.83968	34.593	26.151	30.04104	35.694695	39.478	28.033	24.516	51.312626	34.47147	8.685	31.181362	28.668	29.088	29.223223	31.434	31.11912	51.544	35.573	44.77956	38.334003	35.921	33.928856	28.641642	13.165331	71.87087	45.41082	58.880882	36.531532	40.74975	63.465	44.493988	45.534	18.02002	31.0	24.315	24.13	31.584585	24.554554	42.063065	12.283283	39.661	29.773773	7.364	45.343372	25.887888	22.76	34.13113	40.57515	25.417835	21.903904	17.445	30.36	14.954955	55.494	25.195	25.468	7.936	10.984985	34.97	27.303	67.3013	23.698397	36.571716	15.317636	43.74174	25.58676	33.15631	59.864	14.828657	20.992966	20.188189	33.38038	38.668	33.011032	34.63216	42.638554	24.74074	31.836674	14.952953	25.518518	12.586172
24.691458	26.045135	27.687374	20.132664	17.045046	36.894894	26.569	32.125	24.001	14.436	24.009037	23.081408	24.54509	33.29459	14.534137	14.431726	20.432432	7.965932	36.4489	49.537	52.283566	27.27027	26.92986	52.388	47.431293	59.001003	73.44745	25.845846	61.474	64.39819	22.306307	27.557	20.974	30.412827	48.67603	23.593	72.9	39.388	19.752	23.213427	28.312313	24.333334	29.125	26.425425	44.437	32.55611	59.323647	36.405025	25.574575	50.28028	46.998997	49.024	48.884884	81.54609	61.822647	62.83467	34.558	26.131	30.114115	35.710712	39.458	28.112	24.487	51.268536	34.37838	8.666	31.211422	28.683	29.015	29.24024	31.463	31.163162	51.486	35.543	44.808617	38.268806	35.913	33.97395	28.641642	13.207415	71.85085	45.261524	58.756756	36.51051	40.785786	63.367	44.423847	45.431	18.026026	31.075	24.297	24.1	31.587587	24.548548	42.053055	12.285285	39.688	29.773773	7.355	45.264057	25.745747	22.842	34.16016	40.59619	25.378757	21.897898	17.37	30.359	14.952953	55.447	25.194	25.388	7.938	10.962963	34.984	27.344	67.20521	23.669338	36.67302	15.374749	43.776775	25.612839	33.20541	59.97	14.838677	20.990955	20.176176	33.407406	38.657	33.02407	34.68442	42.54819	24.64865	31.866734	14.985986	25.597597	12.613227
24.689447	26.157473	27.66433	20.16784	17.093094	36.94995	26.549	32.282	24.017	14.416	24.056225	23.1799	24.5501	33.34569	14.58233	14.420683	20.456457	8.004008	36.372746	49.515	52.240482	27.347347	26.980963	52.433	47.507523	58.992985	73.54054	25.772772	61.457	64.47743	22.337337	27.59	20.965	30.417835	48.78736	23.573	72.899	39.344	19.816	23.278557	28.377377	24.318317	29.027	26.51151	44.367	32.53407	59.34569	36.354774	25.641642	50.254253	46.9509	48.89	48.90791	81.54509	61.716434	62.881763	34.581	26.136	30.26026	35.72973	39.509	28.24	24.514	51.37375	34.274273	8.7	31.362726	28.782	29.013	29.161161	31.458	31.203203	51.433	35.549	44.96593	38.274826	35.863	33.927856	28.750751	13.219439	71.984985	45.163326	58.666668	36.53954	40.83884	63.518	44.642284	45.52	18.063063	31.017	24.301	24.079	31.59159	24.575575	42.07007	12.294294	39.613	29.799799	7.358	45.25502	25.74074	22.904	34.08108	40.658318	25.383768	21.92993	17.364	30.251	14.958959	55.419	25.264	25.366	7.91	10.942943	34.946	27.408	67.268265	23.746492	36.78435	15.408817	43.782784	25.67001	33.13427	59.93	14.815631	21.064322	20.312313	33.348347	38.746	33.09027	34.78593	42.614456	24.722723	31.988977	15.0680685	25.836838	12.650301
24.747738	26.121365	27.745491	20.283417	17.161161	36.9019	26.499	32.385	24.026	14.492	24.1004	23.267336	24.553106	33.45892	14.601406	14.503012	20.571571	8.014028	36.517033	49.645	52.327656	27.414415	27.016031	52.405	47.759277	59.22846	73.59159	25.784784	61.578	64.66901	22.321321	27.579	20.98	30.468939	48.864594	23.581	73.093	39.321	19.831	23.30461	28.33033	24.268269	29.198	26.57057	44.412	32.666332	59.48096	36.36181	25.646646	50.40841	46.812626	48.705	48.97998	81.563126	61.68537	63.05511	34.749	26.149	30.296297	35.934937	39.515	28.309	24.581	51.36974	34.46747	8.715	31.425852	28.782	29.074	29.069069	31.524	31.217216	51.441	35.587	45.054108	38.15246	35.925	34.043087	28.824825	13.255511	72.18118	45.038074	58.753754	36.60761	40.80981	63.554	44.711422	45.614	18.141142	31.103	24.391	24.048	31.748749	24.690691	42.064064	12.25025	39.714	29.822823	7.357	45.07229	25.783783	22.822	33.975975	40.621243	25.411823	22.06006	17.364	30.226	14.996997	55.552	25.32	25.391	7.906	10.972973	34.934	27.483	67.394394	23.708416	36.857574	15.486974	43.873875	25.788364	33.142284	59.982	14.833668	21.073366	20.344345	33.328327	38.789	33.270813	34.837185	42.570282	24.777779	32.02505	15.054054	25.957958	12.688376
24.829145	26.15647	27.780561	20.298492	17.197197	36.991993	26.544	32.419	24.058	14.528	24.126507	23.366835	24.646292	33.434868	14.63253	14.501004	20.55856	8.041082	36.496994	49.632	52.331665	27.457457	27.069138	52.381	47.785355	59.263527	73.63364	25.893894	61.545	64.608826	22.335335	27.581	21.086	30.55511	48.974926	23.588	73.147	39.253	19.86	23.351704	28.444445	24.323324	29.303	26.596596	44.358	32.681362	59.64028	36.403015	25.713715	50.306305	46.822647	48.54	48.936935	81.48698	61.710423	63.06613	34.817	26.157	30.383383	36.022022	39.561	28.26	24.602	51.406815	34.4995	8.714	31.529058	28.828	29.061	29.054054	31.568	31.303303	51.328	35.637	45.0491	38.09027	35.942	34.008015	28.756756	13.282565	72.15315	45.024048	58.657658	36.593594	40.842842	63.669	44.856712	45.586	18.167168	31.266	24.508	24.103	31.760761	24.76977	42.173172	12.23924	39.785	29.879879	7.332	45.047188	25.833834	22.86	34.045044	40.631264	25.504007	22.05005	17.378	30.276	15.003003	55.525	25.291	25.465	7.931	10.970971	34.894	27.501	67.37938	23.750502	36.96991	15.471944	43.88889	25.860582	33.18537	60.014	14.876754	21.196985	20.427427	33.404404	38.872	33.255768	34.889446	42.512047	24.862864	32.04509	15.104104	26.04104	12.704409
24.919598	26.255768	27.838676	20.370853	17.21021	36.97698	26.552	32.445	24.125	14.561	24.155622	23.447237	24.761522	33.57415	14.641566	14.580321	20.498499	8.068136	36.538074	49.515	52.255512	27.424425	27.206413	52.291	47.80341	59.442886	73.56657	25.945946	61.508	64.469406	22.243244	27.599	21.233	30.59018	48.90371	23.539	73.197	39.203	19.845	23.32064	28.532532	24.325325	29.339	26.633635	44.248	32.757515	59.696392	36.36181	25.754755	50.385384	46.793587	48.473	48.915916	81.166336	61.662323	62.81463	34.929	26.198	30.381382	36.044044	39.618	28.366	24.601	51.44489	34.556557	8.776	31.621243	28.855	29.045	29.112112	31.628	31.446447	51.353	35.678	45.1503	37.918755	35.974	34.038074	28.766768	13.242485	72.1982	44.88878	58.550552	36.585587	40.903904	63.578	44.846695	45.634	18.223223	31.323	24.54	24.173	31.673674	24.715715	42.126125	12.308309	39.703	29.922922	7.342	44.9498	25.821821	22.85	34.031033	40.62024	25.467936	22.135136	17.38	30.306	15.034034	55.376	25.435	25.468	7.917	10.968969	34.868	27.527	67.38638	23.766533	37.04915	15.428858	43.95195	25.835506	33.144287	60.121	14.887775	21.19799	20.451452	33.502502	38.825	33.1996	35.015076	42.526104	24.918919	32.063126	15.165165	26.102102	12.761523
24.96583	26.359077	27.807615	20.300503	17.215216	37.016018	26.559	32.487	24.136	14.52	24.210844	23.41206	24.796593	33.678356	14.648594	14.61747	20.56056	8.103207	36.487976	49.712	52.106213	27.472473	27.199398	52.334	47.938816	59.381763	73.58258	26.017017	61.476	64.26479	22.305305	27.717	21.302	30.69539	48.928787	23.531	73.073	39.055	19.93	23.278557	28.527527	24.423424	29.329	26.654655	44.2	32.82465	59.827656	36.31256	25.691692	50.279278	46.67936	48.402	48.94795	80.98597	61.73046	62.659317	34.954	26.197	30.433434	36.237236	39.609	28.459	24.682	51.565132	34.535534	8.753	31.635271	28.912	29.088	29.136137	31.715	31.577578	51.295	35.698	45.3497	37.815445	35.97	34.148296	28.807808	13.261523	72.38739	44.740482	58.526527	36.524525	40.9009	63.674	45.058117	45.874	18.26927	31.378	24.638	24.189	31.698698	24.748749	42.145145	12.324325	39.706	29.92993	7.355	45.130524	25.875875	23.008	34.06106	40.712425	25.542084	22.078077	17.346	30.351	15.018018	55.242	25.507	25.543	7.904	10.935936	34.919	27.625	67.45245	23.79459	37.048145	15.4499	44.124123	25.834503	33.148296	60.322	14.906814	21.237186	20.514515	33.651653	38.979	33.2668	35.069347	42.55321	24.959959	32.11022	15.163163	26.233232	12.803607
24.958794	26.381144	27.858717	20.302513	17.235235	37.08208	26.589	32.642	24.234	14.475	24.226908	23.523619	24.842686	33.7004	14.675703	14.591366	20.588589	8.125251	36.516033	49.834	52.007015	27.502502	27.32465	52.429	47.93982	59.40381	73.71571	26.05105	61.549	64.184555	22.306307	27.817	21.33	30.67936	48.875626	23.617	73.051	39.104	19.968	23.482965	28.502502	24.513514	29.372	26.694695	44.194	32.91082	59.877754	36.28844	25.752752	50.28028	46.731464	48.312	48.875877	80.9499	61.82064	62.533066	35.032	26.206	30.494495	36.27728	39.832	28.548	24.61	51.65531	34.592594	8.776	31.771544	28.966	29.17	29.117117	31.823	31.66066	51.22	35.759	45.50401	37.894684	36.034	34.233467	28.821821	13.287575	72.364365	44.73547	58.404404	36.48048	40.99099	63.745	45.195393	45.907	18.303303	31.407	24.673	24.179	31.63063	24.832832	42.233234	12.351352	39.77	29.988989	7.333	45.007027	25.826826	23.14	33.975975	40.774548	25.581161	22.138138	17.358	30.354	14.98999	55.396	25.581	25.525	7.937	10.914915	34.884	27.668	67.3994	23.763527	37.12337	15.4278555	44.035034	25.835506	33.223446	60.306	14.972946	21.312563	20.563564	33.76076	39.016	33.27683	35.132664	42.625504	25.022022	32.168335	15.263264	26.256256	12.846693
25.02211	26.508526	27.857716	20.322613	17.254253	37.143143	26.518	32.656	24.255	14.454	24.263052	23.579899	24.823647	33.74148	14.711847	14.569277	20.553553	8.174349	36.528057	49.938	52.00401	27.505505	27.440882	52.454	48.02006	59.33467	73.78979	26.12112	61.506	64.19258	22.42042	27.838	21.377	30.663326	49.009026	23.553	73.04	39.125	20.107	23.53507	28.595596	24.565565	29.506	26.788788	44.172	32.983967	59.960922	36.161808	25.856857	50.26827	46.66934	48.292	48.870872	80.91784	61.92084	62.59419	34.965	26.297	30.551552	36.35335	39.799	28.604	24.625	51.663326	34.63964	8.809	31.88577	29.052	29.338	29.1992	31.901	31.647648	51.291	35.841	45.607216	37.855568	36.114	34.28457	28.86086	13.310621	72.17718	44.8016	58.52052	36.547546	40.95195	63.839	45.302605	45.876	18.31031	31.521	24.71	24.211	31.656656	24.856857	42.205204	12.4094095	39.808	30.083082	7.367	44.924698	25.872873	23.278	33.945946	40.762524	25.686373	22.126125	17.425	30.429	15.061061	55.468	25.528	25.629	7.941	10.853854	34.869	27.773	67.80781	23.875751	37.21565	15.470942	44.125126	25.84052	33.181362	60.432	14.98998	21.432161	20.578579	33.855854	39.158	33.43029	35.259296	42.638554	25.117117	32.311623	15.29029	26.394394	12.86974
25.106533	26.56369	27.88477	20.337688	17.312313	37.25125	26.528	32.761	24.382	14.406	24.290161	23.58794	24.717434	33.757515	14.741968	14.520081	20.47047	8.161323	36.383766	49.687	51.987976	27.52152	27.473948	52.336	48.007023	59.244488	73.91191	26.093094	61.523	64.06118	22.41942	27.904	21.405	30.67936	49.053158	23.651	72.506	39.034	20.14	23.554108	28.675676	24.546547	29.397	26.772772	44.149	32.977955	60.06814	36.180904	25.997997	50.293293	46.648296	48.188	48.832832	80.5992	61.702404	62.371742	34.992	26.344	30.595596	36.331333	39.95	28.609	24.68	51.496994	34.57257	8.785	31.879759	29.062	29.335	29.206205	31.737	31.723724	51.138	35.804	45.702404	37.914745	36.09	34.21343	28.913914	13.318637	72.15315	44.80962	58.292294	36.511513	40.953953	63.994	45.385773	46.02	18.327328	31.5	24.699	24.267	31.64064	24.977978	42.28729	12.464464	39.795	29.954954	7.371	44.916668	25.813814	23.39	33.886887	40.7495	25.71042	22.205206	17.409	30.202	15.0520525	55.13	25.537	25.607	7.954	10.871872	34.864	27.721	67.75075	23.830662	37.24674	15.472946	44.124123	25.874624	33.146294	60.504	14.971944	21.513567	20.563564	33.885887	39.247	33.444332	35.285427	42.648594	25.13013	32.368736	15.339339	26.477478	12.871743
25.16181	26.597794	27.84469	20.346733	17.323324	37.351353	26.533	32.848	24.465	14.483	24.294176	23.65829	24.831663	33.807613	14.7740965	14.445783	20.484484	8.161323	36.325653	49.793	51.932865	27.56857	27.56012	52.221	48.069206	59.302605	73.76977	26.175175	61.564	64.04814	22.461462	27.994	21.38	30.662325	49.0672	23.69	72.555	39.007	20.209	23.551102	28.694695	24.554554	29.32	26.850851	44.063	33.069138	59.997997	36.107536	26.048048	50.191193	46.627254	48.108	49.04204	80.52505	61.64128	62.24349	35.098	26.345345	30.622623	36.41483	39.969	28.61	24.686	51.45892	34.6016	8.822	31.845692	29.156	29.335	29.254253	31.652	31.805805	51.136	35.95	45.75451	37.92678	36.009	34.248497	29.016016	13.346693	72.04004	44.922844	58.26126	36.594593	41.0	63.87	45.406815	46.053	18.323324	31.534	24.765	24.264	31.73073	24.991991	42.312313	12.506507	39.808	30.1001	7.376	44.968876	25.914915	23.462	33.75876	40.722446	25.738478	22.324324	17.469	30.207	15.057057	55.107	25.485	25.67	7.931	10.834835	34.809	27.776777	67.76877	23.928858	37.194584	15.511022	44.066067	25.935808	33.22445	60.639	14.961924	21.513567	20.555555	33.98098	39.343	33.55968	35.356785	42.61245	25.036036	32.347694	15.398398	26.483484	12.884769
25.18392	26.679037	27.862726	20.358793	17.362362	37.377377	26.522	32.952	24.474	14.491	24.393574	23.754774	24.80561	33.848698	14.846386	14.450803	20.383383	8.193387	36.27355	49.702	51.906815	27.503504	27.55511	52.04	47.810432	59.283566	73.684685	26.086086	61.354	63.87663	22.520521	28.096	21.357	30.644289	49.02006	23.596	72.493	39.009	20.244	23.563126	28.675676	24.485485	29.238	26.882883	44.028	33.046093	60.080162	36.049248	26.044044	50.055054	46.659317	48.166	48.98999	80.38778	61.477955	62.127254	35.12	26.24825	30.626627	36.481964	40.031	28.793	24.645	51.446896	34.567566	8.79	31.9499	29.175	29.39	29.27928	31.707	31.802803	51.167	35.84	45.787575	38.01705	36.079	34.366734	29.072073	13.2715435	72.112114	44.904808	58.178177	36.64064	41.1011	64.058	45.436874	45.949	18.321321	31.559	24.865	24.265	31.778778	25.044044	42.264263	12.505506	39.875	30.182182	7.331	44.858433	26.034035	23.432	33.752754	40.7996	25.727455	22.301302	17.426	30.228	15.041041	55.053	25.5	25.793	7.925	10.828829	34.794	27.777779	67.82583	23.896793	37.198597	15.526052	44.165165	25.970913	33.346695	60.775	14.958918	21.57186	20.569569	34.005005	39.309	33.540623	35.403015	42.605423	25.092093	32.288578	15.383384	26.415415	12.926854
25.249247	26.72618	27.866734	20.40402	17.355356	37.523525	26.504	33.127	24.481	14.525	24.398594	23.81206	24.858717	34.01503	14.909638	14.407631	20.42042	8.198397	36.276554	49.629	51.816635	27.517517	27.741484	52.021	47.78335	59.36974	73.577576	26.04905	61.237	63.858574	22.533533	28.219	21.388	30.626253	49.08425	23.61	72.391	38.993	20.29	23.514029	28.795795	24.485485	29.316	26.982983	43.866	33.061123	60.02004	36.031155	26.02903	49.906906	46.63427	48.161	48.96997	80.32866	61.441883	62.118237	35.231	26.229229	30.683683	36.434868	40.143	28.827	24.729	51.45892	34.612614	8.824	31.992987	29.276	29.484	29.37037	31.743	31.912912	51.284	35.89	46.04008	37.998997	36.217	34.36072	29.09009	13.275551	72.03704	44.89078	58.025024	36.584583	41.194195	64.188	45.386772	46.104	18.372372	31.674	24.867	24.285	31.865866	25.064064	42.197197	12.486486	39.906	30.233232	7.319	44.858433	26.063063	23.452	33.673676	40.75651	25.721443	22.397398	17.421	30.281	15.063063	54.934	25.609	25.895	7.909	10.83984	34.779	27.767767	67.95896	23.94489	37.297894	15.53507	44.166164	25.987965	33.376755	60.786	14.932866	21.58794	20.546547	33.95996	39.347	33.56971	35.55578	42.674698	25.194195	32.38978	15.395395	26.475475	12.911823
